player,team,draft_count,slot_position,source
Nikola Jokic,DEN,9900,1st,most_popular
Victor Wembanyama,SAS,9700,2nd,most_popular
Tyrese Maxey,PHI,6300,1st,most_popular
Daniss Jenkins,DET,6200,4th,most_popular
Bam Adebayo,MIA,5500,3rd,most_popular
Jalen Duren,DET,5500,3rd,most_popular
Paul George,PHI,4800,2nd,most_popular
VJ Edgecombe,PHI,4700,3rd,most_popular
Jamal Murray,DEN,4500,2nd,most_popular
Stephon Castle,SAS,3700,3rd,most_popular
Ausar Thompson,DET,3500,3rd,most_popular
Will Riley,WAS,2300,5th,most_popular
Quentin Grimes,PHI,2200,4th,most_popular
Duncan Robinson,MIA,1900,3rd,most_popular
De'Aaron Fox,SAS,1900,4th,most_popular
Pelle Larsson,SAS,1500,3rd,most_popular
Joel Embiid,PHI,1400,5th,most_popular
