player,team,draft_count,slot_position,source
Jaylen Brown,BOS,5600,1st,most_popular
Tyrese Maxey,PHI,4400,1st,most_popular
Jalen Johnson,ATL,4200,1st,most_popular
Kevin Durant,PHX,4200,2nd,most_popular
Kon Knueppel,MIL,3800,2nd,most_popular
Nickeil Alexander-Walker,MIN,3600,2nd,most_popular
Jalen Brunson,NY,3500,3rd,most_popular
LaMelo Ball,CHA,3300,1st,most_popular
Ousmane Dieng,OKC,2900,3rd,most_popular
Alperen Sengun,HOU,2600,1st,most_popular
Cooper Flagg,DAL,2500,5th,most_popular
Scottie Barnes,TOR,2500,3rd,most_popular
Precious Achiuwa,NY,2300,2nd,most_popular
Paolo Banchero,ORL,2300,2nd,most_popular
