player,team,draft_count,slot_position,source
Victor Wembanyama,SAS,21600,1st,most_popular
Sha'Carri Alexis-Alexander,BOS,16100,2nd,most_popular
Stephen Curry,GSW,12500,3rd,most_popular
Giannis Antetokounmpo,MIL,11900,1st,most_popular
Paolo Banchero,ORL,8500,5th,most_popular
LaMelo Ball,CHA,7400,5th,most_popular
Jimmy Butler III,MIA,5400,3rd,most_popular
Bam Adebayo,MIA,4900,5th,most_popular
Aaron Wiggins,LAL,3100,4th,most_popular
Stephen Castle,CLE,4100,5th,most_popular
Jonathan Kuminga,GSW,3100,4th,most_popular
Alexander Sarr,WAS,3100,4th,most_popular
Dylan Harper,POR,3000,5th,most_popular
Jaime Jequez Jr.,HOU,2900,4th,most_popular
