player,team,draft_count,slot_position,source
Luka Doncic,DAL,32700,1st,most_popular
Stephen Curry,GSW,30100,3rd,most_popular
Shai Gilgeous-Alexander,OKC,27200,1st,most_popular
Kevin Durant,PHX,24500,4th,most_popular
Alperen Sengun,HOU,13000,5th,most_popular
Austin Reaves,LAL,11500,5th,most_popular
Jimmy Butler III,MIA,10200,5th,most_popular
Amen Thompson,HOU,9700,5th,most_popular
Deandre Ayton,POR,3500,5th,most_popular
Chet Holmgren,OKC,2800,5th,most_popular
Buddy Hield,GSW,2600,5th,most_popular
Draymond Green,GSW,2500,5th,most_popular
Rui Hachimura,LAL,1800,5th,most_popular
