player,team,draft_count,slot_position,source
Nikola Jokic,DEN,10900,1st,most_popular
Cooper Flagg,BOS,8700,2nd,most_popular
Shai Gilgeous-Alexander,OKC,7700,1st,most_popular
Kawhi Leonard,LAC,5400,2nd,most_popular
Nickeil Alexander-Walker,ATL,4800,2nd,most_popular
Devin Booker,PHX,4600,3rd,most_popular
Jalen Duren,DET,3600,4th,most_popular
De'Aaron Fox,SA,3500,1st,most_popular
Jalen Johnson,ATL,3400,2nd,most_popular
Jamal Murray,DEN,3100,2nd,most_popular
James Harden,LAC,3000,3rd,most_popular
Bones Hyland,MIN,2900,4th,most_popular
Dylan Harper,,2500,2nd,most_popular
Paolo Banchero,ORL,2500,3rd,most_popular
Deni Avdija,POR,2500,3rd,most_popular
Ousmane Dieng,,2100,4th,most_popular
Desmond Bane,MEM,1800,4th,most_popular
