player,team,draft_count,slot_position,source
LeBron James,LAL,9200,1st,most_popular
Kevin Durant,PHX,6400,2nd,most_popular
Tyrese Maxey,PHI,6000,1st,most_popular
Jalen Brunson,NY,5700,2nd,most_popular
Luke Kennard,LAL,4500,3rd,most_popular
Brandin Podziemski,GS,3900,2nd,most_popular
VJ Edgecombe,PHI,3600,2nd,most_popular
Karl-Anthony Towns,NY,3500,4th,most_popular
Will Riley,WSH,3300,1st,most_popular
Scottie Barnes,TOR,3300,3rd,most_popular
Jayson Tatum,BOS,3100,1st,most_popular
Bam Adebayo,MIA,3000,4th,most_popular
Alperen Sengun,HOU,2800,2nd,most_popular
Amen Thompson,HOU,2800,4th,most_popular
Leonard Miller,CHI,2700,2nd,most_popular
Payton Pritchard,BOS,2600,5th,most_popular
Brandon Ingram,TOR,2400,3rd,most_popular
